"store","min_date","max_date","station","name","lat","lon","dist"
14,"2017-03-15","2019-03-30","UKE00105912","HALESOWEN",52.4367,-2.075,52.4646698099093
14,"2017-03-15","2019-03-30","UKE00105908","NEWTOWN LINFORD",52.68,-1.2158,55.9397163679593
14,"2017-03-15","2019-03-30","UKE00105911","MALVERN",52.1117,-2.3067,61.4683322057899
14,"2017-03-15","2019-03-30","UKW00015038","FAIRFORD",51.6833,-1.7833,61.9201930516168
14,"2017-03-15","2019-03-30","UKE00105922","WALLINGFORD",51.6031,-1.1081,68.7736011903575
14,"2017-03-15","2019-03-30","UKE00156876","SUTTON BONINGTON",52.8358,-1.2494,72.4794426586935
14,"2017-03-15","2019-03-30","UKM00003740","LYNEHAM",51.505,-1.993,86.0674683470594
14,"2017-03-15","2019-03-30","UKE00102158","LYNEHAM",51.5017,-1.9908,86.3245968055555
14,"2017-03-15","2019-03-30","UKW00015040","GREENHAM",51.3833,-1.2833,90.3624081043828
14,"2017-03-15","2019-03-30","UKE00105906","NOTTINGHAM: WATNALL",53.005,-1.25,91.1056172831961
14,"2017-03-15","2019-03-30","UKE00156856","LACOCK",51.4306,-2.1131,97.294586498892
14,"2017-03-15","2019-03-30","UKW00015018","BASSINGBOURN",52.1,0.05,100.500579642524
14,"2017-03-15","2019-03-30","UKM00003772","HEATHROW",51.478,-0.461,102.952369786231
14,"2017-03-15","2019-03-30","UKE00105003","CAMBRIDGE NIAB",52.245,0.1031,103.603542564964
14,"2017-03-15","2019-03-30","UKE00105648","CAMBRIDGE (B. GDNS)",52.1931,0.1317,105.444682608566
14,"2017-03-15","2019-03-30","UKW00015034","WYTON",52.35,0.1167,105.71079817043
14,"2017-03-15","2019-03-30","UKE00105914","LYONSHALL",52.2117,-2.9681,105.846126635199
14,"2017-03-15","2019-03-30","UKE00105910","KEELE",52.9981,-2.27,106.631397083902
14,"2017-03-15","2019-03-30","UKM00003414","SHAWBURY",52.8,-2.67,108.571272880279
14,"2017-03-15","2019-03-30","UKW00015033","HUNTINGTON",52.3667,0.2167,112.71034721413
14,"2017-03-15","2019-03-30","UKE00156864","MONKS WOOD",52.4008,0.2353,114.622293835566
14,"2017-03-15","2019-03-30","UKE00105907","WARSOP",53.2231,-1.115,116.441310898849
14,"2017-03-15","2019-03-30","UKE00156836","BOSCOMBE DOWN",51.1614,-1.7531,116.923207659577
14,"2017-03-15","2019-03-30","UKE00105925","LECKFORD",51.1231,-1.4381,118.848795535542
14,"2017-03-15","2019-03-30","UKE00105675","LONG ASHTON",51.43,-2.67,120.897318503485
14,"2017-03-15","2019-03-30","UKE00105905","BUXTON",53.2567,-1.9131,123.06143281849
14,"2017-03-15","2019-03-30","UKW00015014","MOLESWORTH",52.3833,0.4167,126.407941860086
14,"2017-03-15","2019-03-30","UKE00105900","ROTHAMSTED",51.8067,0.3581,128.731400914987
14,"2017-03-15","2019-03-30","UKE00105915","HAMPSTEAD",51.5608,0.1789,129.993975672474
14,"2017-03-15","2019-03-30","UKW00035046","MILDENHALL",52.3667,0.4833,130.611478425567
14,"2017-03-15","2019-03-30","UKE00108855","TERRINGTON ST CLEMENT",52.745,0.29,130.864668353917
14,"2017-03-15","2019-03-30","UKE00105904","SHEFFIELD",53.3808,-1.49,132.301916496182
14,"2017-03-15","2019-03-30","UKW00015015","CHELVESTON",52.3,0.5333,133.201340828816
14,"2017-03-15","2019-03-30","UKW00035050","WETHERSFIELD",51.9667,0.5,133.251915497482
14,"2017-03-15","2019-03-30","UKE00105901","WRITTLE",51.7317,0.4308,136.437896470187
14,"2017-03-15","2019-03-30","UKW00035034","LAKENHEATH RAF",52.4,0.5667,136.751651931068
14,"2017-03-15","2019-03-30","UKE00156888","WOBURN",52.0142,0.5942,138.657180400313
14,"2017-03-15","2019-03-30","UKM00003334","RINGWAY",53.35,-2.28,141.308701643872
14,"2017-03-15","2019-03-30","UKW00035052","EAST KIRKBY",53.1333,0,141.659764322503
14,"2017-03-15","2019-03-30","UKW00035035","MARHAM",52.65,0.55,142.66967645578
14,"2017-03-15","2019-03-30","UKE00107650","HEATHROW",51.4789,0.4489,150.627144858949
14,"2017-03-15","2019-03-30","UKW00015027","WARRINGTON",53.3833,-2.65,156.348720512035
14,"2017-03-15","2019-03-30","UKE00107962","YEOVILTON",51.0058,-2.64,156.675072414647
15,"2017-03-15","2019-03-30","UKE00156884","WISLEY",51.3103,0.4744,14.5381741829934
15,"2017-03-15","2019-03-30","UKW00035054","WEST MALLING",51.2833,0.4,20.4602298181953
