German,English
einschüchtern,"to frighten, intimidate"
fördern,"to support, sponsor"
die Begründung,"reason, rationale (grounds)"
kapieren,"to figure out, catch onto something"
"das Zitat, -e",quotation
vollständig,"complete, entire"
anspruchsvoll,"demanding, ambitious"
der Anspruch,"a claim, demand, requirement"
den Anspruch haben auf,to have the right or claim to something
Aufmerksamkeit schenken,to pay attention
Respekt schulden (+ AKK),to owe respect
erträglich,"sufferable, endurable"
beseitigen,"to eliminate, abolish, remove"
verbreiten,"to spread, disseminate, broadcast"
sich verbreiten,"to gain currency, get about (word, news)"
ermöglichen,to make possible
sich festigen,"to consolidate, solidify"
befestigen,"to stick, fix, mount"
gewährleisten,"to guarantee, ensure"
sich begeistern für,to become enthusiastic about
beneidenswert,enviable
sich ergeben (aus),(1) to surrender; (2) to result (from sth.)
abgemagert,emaciated
benachteiligen,"to handicap, disadvantage, discriminate against"
sich beziehen auf (+ AKK),to refer to
ein Beispiel anführen,to give an example
nachahmen,to imitate
ungenießbar,inedible
"der Rang (""e)","rank, position, status"
eingehend,"close, detailed, in-depth"
vorantreiben,"to advance, push, promote"
beschwindeln,"to fool, to deceive"
der Bücherwurm,book worm
die Leseratte,book worm (not a worm in German)
die Vorfahren,"forefathers, ancestors"
konservieren,to preserve
der Gebirgszug,mountain range
"der Schuss (""-e)",a shot
schallend,"roaring, resounding"
die Auffassung,"view, opinion, judgment"
schwärmen von,"to enthuse, rave about"
zugeknöpft sein,"buttoned up (clothing), reticent"
ein Urteil fällen,to make a judgment
der Weltuntergang,end of the world
prallen (auf + AKK),to crash (into)
die Gegebenheit,"(given) fact, reality, factor, condition, situation"
die Angelegenheit,"affair, business"
fehlen,to be absent
anklagen wegen (GEN),to accuse (of)
einklagen,"to sue, file a court case"
aus Fleisch und Blut,alive
der Lektor,editor
das Verhältnis (se),"ratio, relationship (mathematical or personal)"
sich bemühen,"to make an effort, take the trouble to do something"
die Landsleute,"compatriots, fellow countrymen"
"weichen (wich, gewichen)","to give way, yield, go away (weaken)"
die Ausführung,"execution, implementation"
eine Grenze ziehen,to draw the line
eine Grenze festlegen,to set a boundary
nachtrauern,"to regret, mourn"
anhalten,"(1) to stop; (2) to continue (as in: to last, hold on)"
demzufolge,"as a result, therefore, consequently"
das Mysterium,mystery
die Entmystifizierung,demystification
der Mythos,myth
die Randgruppe,"fringe group, outsider group"
an den Rand drängen,to marginalise
vorhanden sein,"to exist, be present (with sein)"
vorlegen,"to present, to submit, bring something forward"
vorliegen,to exist
die Mystik,mysticism
der Geist ist willig aber das Fleisch ist schwach,"I want to, but I cant!"
die Denkweise,"mindset, way of thinking"
verfremden,to alienate
das Resultat,result
die Blutgefäße,blood vessels
der Scharlatan,"quack, charlaten"
potenzieren,to exponentiate
bahnbrechend,groundbreaking
der Meilenstein,milestone
schildern,to depict
die Epoche,epoch
strapazieren,"to strain, to stress"
ungeheuer,"huge, mighty, enormous"
die Lebensführung,lifestyle
üppig,"opulent, lush, wanton"
das Übermaß (an),"excess, immoderation"
begünstigen,to bring forward; benefit; favour; pander to; prefer; promote
die Erkrankung,"the ailment, disease, sickness"
die Betätigung,"activity, operation"
die Vorbeugung,"prevention, prophylaxis"
das Patentrezept,"magic formula, panacea"
in Vergessenheit geraten,"to fall into oblivion, be forgotten"
sich gönnen (dat),"to treat, indulge oneself to"
schonend,"gently, considerately"
seufzen,to sigh
enthüllen,"to reveal, uncover, unveil"
der Hubschrauber,chopper (helicopter)
die Tarnung,"camouflage, cover"
als Tarnung dienen,to serve as camouflage
stöhnen,"to groan, moan"
die Sache erledigen,"to take care of something, settle the matter"
verharmlosen,"to play down, trivialize"
in Anbetracht (GEN),"in consideration of, given"
das Gerücht,rumor
der Argwohn,"suspicion, distrust"
Argwohn erregen,to arouse suspicion
das Etikett,label
das Siegel,seal (official stamp or seal)
der Verstoß (gegen),violation
betrügen,"to deceive, to cheat"
nahelegen,to suggest (something)
im Schnitt,on average
ermitteln,"to investigate, find something out"
vertreiben,"to distribute, disperse, exile, drive away"
unentbehrlich,indispensible
verfehlen,to miss
taumeln,"to lurch, tumble, wobble"
der Zusammenstoß,collision
fälschen,to fake/forge
preisen,to praise
abschrecken von,"to deter from, scare off"
Anlass geben zu,to give reason/cause to/for something
belanglos,trivial; petty
die Unterbrechung,interruption
herausstellen,"to emphasise, showcase, highlight"
zum Einsatz kommen,"to be used, to come into operation"
der Wendepunkt,turning point
schrumpfen,to shrink
überragen,"to tower above, outshine, outperform"
die Fehlbildung,"deformity, malformation "
allmählich,"gradually, bit by bit"
nivellieren,"to even, level out"
besiedeln,to populate
einleuchten,"to make sense; become evident, apparent"
der Maßstab,"measure, standard, ruler"
der Widerspruch,contradiction
enträtseln,"to solve (a puzzle), decipher"
fälschlicherweise,"mistakenly, wrongly"
sich weigern,to refuse
herausragend,"outstanding, preeminent"
wesentlich,"essentially, significantly, considerably"
mitsamt (DAT),together with
sich einer Sache entledigen,"to rid oneself of something, to dispose of a matter"
fungieren,"to function, act, serve as"
bereichern,"to enrich, add to"
weltweit agieren,to operate globally
je nach Bedarf,"according to the requirements, as needed"
die Echtzeit,real-time (as in online)
kränkeln,"to ail, be in frail health"
die Liege,"day bed, (sun) lounger"
die Faustregel,rule of thumb
die Gewissenhaftigkeit,dilligence
allmählich,"gradually, bit by bit"
"lange Rede, kurzer Sinn",long story short
nachvollziehen,"to comprehend, to be able to reconstruct, to follow"
der Kater,hangover; tomcat
die Besinnung,consciousness
nichtssagend,"vacant, featureless, expressionless"
das ist müßig,that's pointless / futile
die Nabelschnur,umbilical cord
das Muttermal,birthmark
minutiös,"meticulous, pedantic"
mildern,to alleviate
häkeln,to crochet
der Wels,catfish
der Inbegriff,epitome
imponieren,to impress
die Fundgrube,"repository, ""gold mine"", trove"
die Gratwanderung,"tightrope walk, delicate situation"
sich erbarmen,to have pity (for someone)
das Fegefeuer,purgatory
die Frömmigkeit,"devoutness, piety"
die Angewohnheit,"habit, mannerism"
die Affektiertheit,affectation
die Gewohnheit,custom
die Barmherzigkeit,mercy
die Kreuzigung,crucifixion
begnadigen,"to reprieve, pardon"
die Vergebung,"forgiveness, pardon, absolution"
der Dirigent,conductor (orchestra)
die Fahrstuhlmusik,elevator music
einstudieren,to rehearse
nach Gehör spielen,to play by ear
die Holzbläser,woodwind section
Übung macht den Meister,practice makes perfect
das Sachbuch,nonfiction book
die Vorstellung ,"imagination, notion, showing (e.g. film, theatre)"
der Malstil,painting style
architektonisch,architectural
das Atelier,"studio, artist's workshop"
hauen,"to chop, hew, carve (stone)"
der Pinselstrich,brushstroke
die Saite,"string, chord (of an instrument)"
misstönend,discordant
restaurieren,to restore
der Bildhauer,sculptor
das kulturelle Erbe,cultural heritage
der Pinsel,paint brush
die bildenden Künste,fine arts
aktionsreich,action packed
erfunden,"contrived, fake, imaginary"
der Kinorenner,box office hit
der Trailer,"trailer, preview"
synchronisieren,to dub
ausverkauft,sold out
die Erstaufführung,opening night
die Darstellung,portrayal (of a character)
sich entfalten,"to develop, unfold, unfurl"
die Nebenhandlung,subplot
die Prosa,prose
die Besetzung,the cast (of a film)
der Knüller,blockbuster
der Ausschnitt,"clipping, extract"
die Zeile,"line (of a poem, document), row"
die Dichtung,"poetry, writing"
ergreifend,"moving, poignant, gripping"
unterhaltsam,entertaining
die Gruselgeschichte,horror story
der Höhepunkt,climax
gefühlstief,intense
das Misstrauen gegen,the mistrust of
beachtlich,remarkable; significant
sinnlos,meaningless
das Unbehagen an...(dative),unease at
etwas in Frage stellen,to call something into question
der Verlag,publishing house
beeinträchtigen,"to compromise, damage, impair"
das Nachschlagewerk,reference work
die Schattenseite,downside
fesselnd,"captivating, gripping"
fromm,"religious, pious"
die Tugend,virtue
das Laster,"vice, guilty pleasure"
anscheinend,"apparently, seemingly"
beantragen,"to file for something, to request"
prellen,"to cheat, con; to bruise"
der Aufwand,"expenditure; cost, effort"
die Leistungspunkte,credits (school)
sich überschneiden,"to overlap, coincide"
berücksichtigen,"to consider, account for, bear in mind"
cholerisch,choleric
ein offenes Ohr haben,to be there to listen to someone when they need it
unser tägliches Brot,our daily bread
stampfen,to stomp
fabelhaft,"fabulous, marvelous"
der Sargnagel,nail in a coffin
der Werkzeugkoffer,toolbox
vorwiegend,"predominant, prevalant"
der Ausblick,"outlook, view, prospect"
wasserdicht,watertight
die Vorgehensweise,"approach, course of action, procedure"
überprüfbar,verifiable
die Entscheidungsfindung,decision-making
der Lebensabschnitt,stage/phase of one's life
renommiert,"prestigious, renowned"
lückenhaft,"sketchy, incomplete, fragmented"
die Datenerhebung,data collection
alle ins Boot holen,to get everyone onboard
"man munkelt, dass",rumor has it
überwältigend,overwhelming
entzerren,"to rectify, equalise, straighten out"
die Verpflichtung,"obligation, liability, duty"
ableiten (von),"to derive, deduce (from)"
die Stichprobe,sample (statistics)
die Ausprägung,"characteristic, markedness, peculiarity"
die Selbstauskunft,"self-disclosure, self-declaration"
die Eindeutigkeit,"clearness, unambiguousness"
die Prüfbarkeit,testability
die Falsifizierbarkeit,falsifiability
die Gesetzmäßigkeit,"legitimacy, legality"
die Feststellung,"determination, discovery"
die Leistungsfähigkeit,performance ability
die Leistung,performance; achievement; output
die Vorschrift,"specification, rule"
die Anforderung,requirement
die Grundgesamtheit,population (math)
die Verlässlichkeit,"reliability, dependability"
die Wahrscheinlichkeit,"likelihood, probability"
die Standardabweichung,standard deviation
der Mittelwert,mean (math.)
der Minimalwert,smallest value
der Maximalwert,largest value
der Durchschnitt,average
unerlässlich,"essential, indispensible"
die Genauigkeit,"accuracy, precision"
der Selbstbericht,self-report
die Auflage,edition (of a book); circulation (of a paper); condition (law)
die Besonderheit,"feature, peculiarity, characteristic"
die Streuung,"dispersion, scatter, spread"
überdauern,"to outlast, outlive"
das Selbstwertgefühl,"self-esteem, feeling of self-worth"
die Reagibilität,"reactivity, responsiveness"
das Testverfahren,test procedure
prognostizieren,to predict (prognosticate)
die Diskrepanz,"discrepancy, mismatch"
die Vermessung,"measurement, survey"
erblich,heritable/hereditary
intendieren,to intend
die Selbstüberschätzung,"overestimation of one's abilities, inflated sense of self"
die Partnerschaftszufriedenheit,relationship satisfaction
der Ansatz,"approach (e.g. to a problem), beginning, estimate"
stressanfällig,susceptible to stress
vertragen,to tolerate
die Verträglichkeit,"compatibility, tolerance, good-naturedness"
einfallsreich,"imaginative, creative"
ausschnittweise,"in part, partially"
der Einwand,objection
die Abfolge,"sequence, succession"
nachlassen,"diminish, decline"
loswerden,to get rid of
erliegen,"to succumb to, to yield to, be the victim of"
sich begeben (nach),to proceed to
sich drängen,"to throng, cluster, crowd"
der Beifall,"applause, acclaim"
das Gedränge,"the crowd, throng of people"
die Erkundigung,inquiry
eine Erkundigung einziehen,to make an inquiry
(über jemanden) herziehen,"to mock, talk trash"
zutage treten,"to become evident, to emerge, come to light "
der Umschweif,digression
ohne Umschweife,"outright, without further delay"
das Anliegen,"concern, matter, desire"
aus dem Rahmen fallen,to be out of line
aus allen Wolken fallen,to be flabbergasted
(jdm.) gegen den Strich gehen,to rub someone the wrong way
der Vorstoß,"foray, thrust, advance"
einen Vorstoß machen,to make an advance
auf keinen grünen Zweig kommen,to be getting nowhere (with something)
nicht auf den (richtigen) Trichter kommen,can't get the hang of something
der Trichter,"funnel, hopper"
(mit jdm.) hart ins Gericht gehen,to be hard/harsh on someone
(etwas) auf den Grund gehen,"to look into something, get to the bottom of something"
schwappen,to slosh
der Kessel,"kettle, cauldron; basin (geog.)"
die Regenrinne,rain gutter
der Fallschirmjäger,paratrooper
schweben,"to hover, float, waft"
wanken,"to roll, sway, stagger"
