German,English
fremdes Gut an sich reißen,to steal (literary-sounding)
provozieren,to provoke
einen Diebstahl begehen,to steal (formal)
der Lehrplan,"curriculum, syllabus"
einwenden gegen,to object to
der Einwand,objection
die Wechselwirkung,"interaction, interplay"
veranschaulichen,"to show, illustrate, demonstrate"
unzureichend,"inadequate, insufficient"
die Ausführung,"execution, implementation"
die Friedfertigkeit,"peacefulness, tranquility"
die Minderwertigkeitskomplex,inferiority complex
anleiten zu,to make or instruct someone to do something
nachweislich,"demonstrable, verifiable"
die Annahme,"assumption, supposition, acceptance"
anzweifeln,"to challenge, mistrust"
vorschnell,"rash, hasty"
das Scharmützel,skirmish
unwiderstehlich,irresistible
gähnen,to yawn
das Laster,"vice, guilty pleasure"
das Einfühlungsvermögen,"sensitivity, empathy"
sich hineinversetzen in,to put yourself on someones position
die Schlagfertigkeit,"quick wit, repartee"
das Nachsitzen,detention
sitzen bleiben,to repeat a class (be held back)
vermitteln,"to communicate, teach"
versetzen,to advance to the next class
die Arbeitsbeschaffungsmaßnahme,job creation scheme
abgehen,"to drop out, quit going to school"
sich habilitieren,to get promoted to 'Professor'
das Bildungswesen,everything that has to do with teaching and education
die Habilitation,work that gets you promoted to 'Professor'
überfordern,to overburden
das Internat,boarding school
das Kollegium,faculty
das Kultusministerium,Department of Education (state)
reformieren,to reform
der Lehrkörper,teaching staff
das Gymnasium,high school
der Lehrplan,"curriculum, syllabus"
die Schulbehörde,school administrators
das Zeugnis,report card
der Nachhilfeunterricht,tutoring
die Arbeitslosenquote,unemployment rate
das Pensum,workload
das Bafög,studying money from German government
gehorsam,obedient
der Studiengang,course of studies
die Verleihung,"conferrment, bestowal"
die Aula,lecture hall
der Schuljahrgang,"class (of 2015, for example)"
die Fachkompetenz,expertise
die Promotion,doctoral thesis
das Staatsexamen,"state licensing exam (Lehramt, Medizin, Rechtsanwalt, usw.)"
autoritär,very strict
das Pult,lecturn
die Regelstudienzeit,number of semesters to complete a Studium
geschäftstüchtig,"business-minded, enterprising"
die Schulpflicht,legal requirement to attend school
das Schulversagen,doing badly in school
das Schulwesen,everything having to do with school
die Schülermitvertretung,student government
die Unterrichtsgestaltung,"educational design, teaching structure"
aufgeschlossen,open-minded
tapfer,"brave, stalwart"
eine Prüfung ablegen,to do a test
wiederholen,to revise
die Kernfächer,core subjects
der Tyrann,bully
durchrutschen,to scrape by
der Leistungsdruck,pressure to achieve
die Gedächtnishilfe,memory aid
die Legasthenie,dyslexia
"ohne Fleiß, kein Preis","no pain, no gain"
sich überarbeiten,to overwork
Wissenlücken stopfen,to fill in gaps (in knowledge)
sich Wissen zulegen,to acquire knowledge
abschreiben,to copy
verprügeln,to beat up
bei einer Prüfung mogeln,to cheat on an exam
abwechslungsreich,varied
Diskussion fördern,to encourage discusssion
konsequent,consistent
lasch,lax
unnahbar,unapproachable
die Kluft zwischen Theorie und Praxis,the gap between theory and practice
fesseln,to engage or captivate (interest)
dozieren über,to lecture on
die Eignungsprüfung,aptitude test
Forschung betreiben,to do research
der Hochschulabsolvant,college graduate
das Universitätsgelände,campus
nach Abschluss des Studiums,after completing studies
die Zeichensprache,sign language
die Blindschrift,braille
der Band,volume
das Band,ribbon
die Band,musical band
der Bund,confederation
das Bund,"bundle, bunch"
die Bande,gang
das Bündnis,confederation
der Gehalt,content
das Gehalt,salary
der Erbe,heir
das Erbe,inheritance
der Golf,gulf
das Golf,golf
der Flur,hall
die Flur,meadow
der Kiefer,jaw
die Kiefer,pine tree
der Schild,shield
das Schild,sign
der Leiter,leader
die Leiter,ladder
die Achsel,shoulder
die Achse,axle
aufrüsten,to arm (get weapons)
ausrüsten,to equip (so/st)
die Steuer,tax\
das Steuer,steering wheel
(jdm etw) ausrichten,to notify someone of something
(etw) einrichten,to furnish something
(etw) verrichten,to perform something (eine Aufgabe)
bedingungslos,unconditional
unbedingt,absolute
beten,to pray
betteln,to beg
böse,"evil, angry, wicked"
boshaft,"spiteful, catty, nasty"
böswillig,malicious
(etw) beurteilen,to judge something
(jdn) verurteilen,to condemn somebody
dauern,to last
bedauern,"to regret, feel pity"
bedauerlich,regrettable
bedauernswert,pitiful
(etw) brauchen,to need
(etw) gebrauchen,to use
(etw) verbrauchen,to consume
der Brauch,custom
der Gebrauch,use
gebräuchlich,customary
gebraucht,"used, second-hand"
die Unart,"bad habit, practice"
der Unfug,"nonsense, mischief"
die Unkosten,expenses
die Untat,atrocity
das Unkraut,the weed
das Ungeziefer,"vermin, pest, bug"
der Unmensch,"barbarian, brute"
die Unsumme,"enormous sum, amount"
das Unwetter,storm
die Unzahl,immense number
das Unbehagen,"unease, discomfort, uncanny"
das Unding,absurdity
die Ungeduld,impatience
das Ungeheuer,monster
das Ungetüm,monster
das Unheil,disastrous fortune
die Unkenntnis,"ignorance, lack of awareness"
die Unmenge,huge quantity
die Unordnung,state of disorder
der Unrat,"debris, refuse"
das Unrecht,injustice
die Unruhe,"disturbance, turbulance"
die Untiefe,shallow waters
das Unvermögen,"inability, incapacity"
der Unmut,"displeasure, resentment"
verstören,to unsettle
gelegentlich,"sometimes, from time to time"
in Schwierigkeiten stecken (sein),to get in trouble
verabscheuen,"to detest, to loathe"
untergraben,"to erode, sap, undermine"
der Eindringling (-e),intruder
reglos,motionless
die Zeitverschwendung,a waste of time
leichtfertig,"frivolously, carelessly"
genmanipuliert,genetically modified
hereinfallen auf (AKK),to fall for something
der Aufstand,"riot, rebellion, revolt"
die Erregung,"excitement, arousal"
das Ermessen,"judgment, discretionary power"
zusammenbrechen,"to break, collapse, fall apart"
der Einsturz,"collapse, cave in"
der Anblick (e),"sight, view"
die Aufforderung,"demand, order, request"
der Widerwillen (gegen),"aversion, distaste (for)"
bedenkenlos,without hestitation
ketzerisch,heretical
ein Leichtes (sein),"a cinch, breeze"
die Kehle,"throat, channel, hollow"
der Schluckauf,hiccup
die Schranke,"barrier, limit, bound"
die Morddrohung,death threat
die Zuneigung,affection
die Abneigung,"dislike, distaste"
der Vorwand,excuse
das Unheil,disastrous fortune
besänftigen,"to calm, soothe, pacify"
die Öde,wasteland
aufreizend,"exciting, turning someone on (sexually)"
eifrig,"eager, zealous"
die Wucht,"impact, weight"
die Auslosung,lottery drawing
der Ausweg,"back door, way out"
die Anfrage,inquiry
das Mahl,feast
tadellos,"pristine; perfect, flawless"
knabbern,"nibble, gnaw, munch"
einbeziehen,to include
die Verzögerung,"delay, hold up"
schroff,curt
überrumpeln,"to take (sb) by surprise, to blindside s.o."
unverfänglich,"harmless, innocuous, uncontroversial"
die Zurückhaltung,"restraint, reserve, reticence"
gutmütig,good-natured
läppisch,"foolish, infantile; laughably small"
prächtig,superb
buckelig,hunchbacked
vorwurfsvoll,reproachful
tatenlos,inactive
untermauern,"to underpin, support, corroborate (eine Theorie unterstützen)"
die Hochachtung,"great respect, high esteem"
grell,"glaring, dazzling"
die Fehlzündung,misfire
dämpfen,to dampen
die Falltür,trap door
zögern,to hesitate
schleudern,"to fling, to skid"
die Schwelle,"threshhold, brink, edge, cusp"
sich einlassen auf (AKK),to get involved with something or someone
der Funke,spark
die Laune,mood
die Anweisung,"instruction, assignment"
erwidern,to reply
der Sog,"undertow, wake, pull, suction"
überstehen,"to pull through, to survive, endure"
quasseln,to blather; quatschen
der Vorsatz,"willful intent, premeditation"
der Graus,horror
unterdrücken,"to suppress, repress"
plaudern,to chit chat
sich beteiligen an,to take part in
einmalig,"singular, one of a kind"
heimlichtuerisch,"secretive, sneaky"
"sich überschlagen (überschlug, hat überschlagen)","tumble, flip over"
sterbenslangweilig,deadly boring
der Anlauf,"attempt, start"
wahllos,"randomly, indiscriminately"
verursachen,to cause
versagen,"to fail, to deny"
verstoßen gegen,"to violate, infringe upon"
verleihen,"to confer, to award"
verfehlen,to miss
verführen,"to entrap, mislead, to seduce"
verformen,"to deform, warp"
sich verwandeln in,"to transform, turn into something"
verrichten,"to carry out, execute"
vergeuden,"to waste, squander"
sich vermehren,to reproduce
vermasseln,"to blunder, to mess up"
verblühen,"to wither, fade (plants)"
verbrauchen,"to use up, consume"
verdrängen,"to oust, replace someone or something"
verklingen,to fade away (sounds)
versklaven,to enslave
verarmen,to become poor
verbiegen,to bend something out of shape
verlernen,to forget how to do something
versalzen,to oversalt something
sich verwählen,to misdial
vereinsamen,to become lonely
verwunden,to wound someone
verzaubern,to enchant someone
verfolgen,"to persecute, go after"
vergehen,"to pass, to elapse"
ertragen,to endure/ to put up with sth.
erwidern,to reply
erwischen,to catch (a criminal)
erarbeiten,to acquire something by working for it (to gain by work)
erschießen,to shoot someone dead
erbitten,to ask for something
erkämpfen,to win something by fighting for it
erblinden,to become blind
erröten,to blush
(jdn) ermuntern,to liven someone up
erwärmen,to heat something up
erfolgen aus (etwas),to result from something
die Geisel,hostage
als Geisel nehmen,to take someone hostage
autark,"autonomous, self-sufficient"
der Entführer,hijacker
die Hochrechnung,projection (numbers)
das Verhandlungsgeschick,negotiating skills
ermorden,to murder
von vornherein,"from the outset, in the first place"
der Gottesstaat,theocracy
die Dürre,drought
einen Anschlag verüben,to carry out an attack
ausliefern nach,to extradite to
hetzen gegen,to stir up hate
hinrichten,to execute (a criminal)
das Erdbeben,earthquake
ein Verbrechen an der Menschheit,a crime against humanity
die Armut bekämpfen,to fight poverty
der Dschihad,jihad
eine Bombe zünden,to set off a bomb
die Auslandsverschuldung,foreign debt
das Elend lindern,to alleviate misery
Forderungen nachgeben,to give into demands
die Entfremdung,"alienation, estrangement"
der Unterschied zwischen Arm und Reich,the gap between rich and poor (extreme difference)
die Überschwemmung,flood
die Entwicklungshilfe,development aid
Familienplanung betreiben,to practice family planning
der Hassprediger,preacher of hate
fördern,"to support, aide"
die Meinungsverschiedenheit,difference of opinion
die Spende,donation (to charity)
der Waldbrand,forest fire
die Beweglichkeit,mobility
leiden unter,to suffer from
die Säuglingssterblichkeit,infant mortality
die Versandung,desertification
die Fetzen fliegen,sparks fly
die Hungersnot,famine
das Krisengebiet,crisis zone
der Erdrutsch,landslide
die ungleiche Verteilung,unequal distribution
sesshaft werden,to put down roots
die Seuche,epidemic
die Waise,orphan
die Armutsgrenze,the poverty line
die Eigenständigkeit,"independence, self-reliance"
die Großmächte,superpowers
die Niederlage,defeat
der Wirbelsturm,tornado
die Abrüstung,disarmament
das Opfer,victim
der Atomwaffensperrvertrag,nuclear non-proliferation treaty
der Gegner,"enemy, opponent"
das Attentat,assassination
die Entspannung,"relaxation, easing of tensions"
diplomatische Beziehungen abbrechen,to break off diplomatic relations
verpesten,"to poison, to pollute"
der Sieger,victor
überfallen,to mug or attack
die Vereinten Nationen,United Nations
die Entfaltung,unfolding; evolution; development (zB eine Persönlichkeit)
am Scheideweg stehen,to be at a crossroads
die Beschwichtigung,appeasement
der Rüstungskonzern,weapons manufacturer
eine Schuld ablösen,to discharge a debt
das Militär,military
einen Konflikt schlichten,to resolve a conflict
der Alliierte,ally
die Oberhand gewinnen,to get the upper hand
der Disput,the dispute
diplomatisch vorgehen,To use diplomacy
aushandeln,"to bargain, mediate, broker"
die Macht ergreifen,to seize power
das Zugeständnis,concession (e.g. with unions)
über etwas Einigung erzielen,to reach an agreement on something
der Umschwung,"change, turnaround, reversal"
haftbar sein (für etwas),"to be liable, accountable for"
Die Menschenrechtsverletzung (en),Violation of human rights
verhandeln,to negotiate
(jdm. etwas) vorwerfen,to accuse someone of something
der Diskussionsschwerpunkt,main topic of conversation
im Gegenzug,"in return, in turn"
besetzen,to occupy (a country)
abendländisch,"western, occidental"
sich unterwerfen (DAT),to submit oneself to
Widerstand leisten,to offer resistance
besiegen,to defeat
erobern,to conquer
der Waffenstillstand,"ceasefire, truce"
verwüsten,to lay waste to
beflügeln,"to quicken (to give wings to imagination, eg)"
die Aufrüstung,military build-up
eine Atomstreitmacht sein,to be a nuclear power
angreifen,to attack
die Abrüstung,disarmament
die ethnische Säuberung,ethnic cleansing
abriegeln,"to seal off, close off"
einen Sieg erringen,to win a victory
der Vertriebene,"exile, refugee"
belästigen,"to bother, to harass"
die Abschreckung,"deterrence, deterrent"
ein Ultimatum stellen,to give an ultimatum
Krieg erklären,to declare war
einmarschieren in,to invade
der Flüchtling,the refugee
seinem Land dienen,to serve one's country
feststellbar,"discernable, ascertainable"
die Erörterung,"discussion, review of an argument"
Truppen abziehen,to withdraw troops
die Rakete,missile
ausbeuten,to exploit
ums Leben kommen,to die
der Sachverhalt,issue; facts of the case
die Vorstellungskraft,imagination
einem Kommando gehorchen,to follow a command
derzeitig,"present, current (starts with d)"
die Wehrpflicht,"military service, conscription"
der Stützpunkt,"stronghold, military base"
das Atominferno,nuclear blast
sagenhaft,"fantastic, fabled"
Die Spionage,spying
der Spion,the spy
Truppen einsetzen,to deploy troops
die Gesinnung,"ethos, disposition, attitude"
die Unterlagen,supporting documents
die Branche,"area of business, branch"
die Anforderung,requirement
die Zusage,job offer (commitment)
pendeln,to commute
die Berufswahl,career choice
der Geschäftssinn,"business sense, acumen"
