"""bundesland"",""bezirk"",""gemeinde"",""gem_id"",""gem_plz"",""city"",""ort_plz"",""bu_lat"",""bu_lon"",""be_lat"",""be_lon"",""g_lat"",""g_lon"",""lat"",""lon"""
"Burgenland,""Güssing"",""Kukmirn"",10408,7543,""Kukmirn"",""7543"",47.4743,16.5791,47.059377,16.323944,47.073917,16.205963,47.073917,16.205963"
"Burgenland,""Güssing"",""Kukmirn"",10408,7543,""Limbach"",""7543"",47.4743,16.5791,47.059377,16.323944,47.073917,16.205963,47.060287,16.168926"
"Burgenland,""Güssing"",""Kukmirn"",10408,7543,""Neusiedl"",""7543"",47.4743,16.5791,47.059377,16.323944,47.073917,16.205963,47.080665,16.1757"
"Burgenland,""Güssing"",""Neuberg im Burgenland"",10409,7535,""Neuberg im Burgenland"",""7535"",47.4743,16.5791,47.059377,16.323944,47.168894,16.259604,47.168894,16.259604"
"Burgenland,""Güssing"",""Neuberg im Burgenland"",10409,7535,""Nova Gora"",""7535"",47.4743,16.5791,47.059377,16.323944,47.168894,16.259604,47.168894,16.259604"
"Burgenland,""Güssing"",""Neustift bei Güssing"",10410,7540,""Neustift bei Güssing"",""7540"",47.4743,16.5791,47.059377,16.323944,47.02489,16.259613,47.02489,16.259613"
"Burgenland,""Güssing"",""Olbendorf"",10411,7534,""Olbendorf"",""7534"",47.4743,16.5791,47.059377,16.323944,47.190604,16.203999,47.190604,16.203999"
"Burgenland,""Güssing"",""Ollersdorf im Burgenland"",10412,7533,""Ollersdorf im Burgenland"",""7533"",47.4743,16.5791,47.059377,16.323944,47.183003,16.164063,47.183003,16.164063"
"Burgenland,""Güssing"",""Ollersdorf im Burgenland"",10412,7533,""Ollersdorf im Burgenland"",""8292"",47.4743,16.5791,47.059377,16.323944,47.183003,16.164063,47.183003,16.164063"
"Burgenland,""Güssing"",""Sankt Michael im Burgenland"",10413,7535,""Gamischdorf"",""7535"",47.4743,16.5791,47.059377,16.323944,47.127555,16.269215,47.108861,16.25649"
"Burgenland,""Güssing"",""Sankt Michael im Burgenland"",10413,7535,""Sankt Michael im Burgenland"",""7535"",47.4743,16.5791,47.059377,16.323944,47.127555,16.269215,47.127555,16.269215"
"Burgenland,""Güssing"",""Sankt Michael im Burgenland"",10413,7535,""Schallendorf im Burgenland"",""7535"",47.4743,16.5791,47.059377,16.323944,47.127555,16.269215,47.12012,16.24547"
"Burgenland,""Güssing"",""Stegersbach"",10414,7551,""Stegersbach"",""7551"",47.4743,16.5791,47.059377,16.323944,47.160215,16.165785,47.160215,16.165785"
"Burgenland,""Güssing"",""Stinatz"",10415,7552,""Stinatz"",""7552"",47.4743,16.5791,47.059377,16.323944,47.203916,16.131656,47.203916,16.131656"
"Burgenland,""Güssing"",""Stinatz"",10415,7552,""Stinjaki"",""7552"",47.4743,16.5791,47.059377,16.323944,47.203916,16.131656,47.203916,16.131656"
"Burgenland,""Güssing"",""Strem"",10416,7522,""Deutsch Ehrensdorf"",""7522"",47.4743,16.5791,47.059377,16.323944,47.044504,16.414174,47.100221,16.412805"
"Burgenland,""Güssing"",""Strem"",10416,7522,""Steinfurt"",""7522"",47.4743,16.5791,47.059377,16.323944,47.044504,16.414174,47.073068,16.417958"
"Burgenland,""Güssing"",""Strem"",10416,7522,""Strem"",""7522"",47.4743,16.5791,47.059377,16.323944,47.044504,16.414174,47.044504,16.414174"
"Burgenland,""Güssing"",""Strem"",10416,7522,""Sumetendorf"",""7522"",47.4743,16.5791,47.059377,16.323944,47.044504,16.414174,47.044413,16.394404"
"Burgenland,""Güssing"",""Tobaj"",10417,7540,""Deutsch Tschantschendorf"",""7535"",47.4743,16.5791,47.059377,16.323944,47.090347,16.304728,47.107393,16.286917"
"Burgenland,""Güssing"",""Tobaj"",10417,7540,""Hasendorf im Burgenland"",""7540"",47.4743,16.5791,47.059377,16.323944,47.090347,16.304728,47.077324,16.297945"
"Burgenland,""Güssing"",""Tobaj"",10417,7540,""Kroatisch Tschantschendorf"",""7535"",47.4743,16.5791,47.059377,16.323944,47.090347,16.304728,47.09742,16.286655"
"Burgenland,""Güssing"",""Tobaj"",10417,7540,""Punitz"",""7535"",47.4743,16.5791,47.059377,16.323944,47.090347,16.304728,47.121441,16.340081"
"Burgenland,""Güssing"",""Tobaj"",10417,7540,""Punitz"",""7540"",47.4743,16.5791,47.059377,16.323944,47.090347,16.304728,47.121441,16.340081"
"Burgenland,""Güssing"",""Tobaj"",10417,7540,""Tobaj"",""7540"",47.4743,16.5791,47.059377,16.323944,47.090347,16.304728,47.090347,16.304728"
"Burgenland,""Güssing"",""Tobaj"",10417,7540,""Tudersdorf"",""7535"",47.4743,16.5791,47.059377,16.323944,47.090347,16.304728,47.101081,16.276219"
"Burgenland,""Güssing"",""Hackerberg"",10418,8292,""Hackerberg"",""8292"",47.4743,16.5791,47.059377,16.323944,47.19641,16.107098,47.19641,16.107098"
"Burgenland,""Güssing"",""Wörterberg"",10419,8293,""Wörterberg"",""8293"",47.4743,16.5791,47.059377,16.323944,47.220414,16.099575,47.220414,16.099575"
"Burgenland,""Güssing"",""Großmürbisch"",10420,7540,""Großmürbisch"",""7540"",47.4743,16.5791,47.059377,16.323944,47.016657,16.361093,47.016657,16.361093"
"Burgenland,""Güssing"",""Inzenhof"",10421,7540,""Inzenhof"",""7540"",47.4743,16.5791,47.059377,16.323944,47.01219,16.317023,47.01219,16.317023"
"Burgenland,""Güssing"",""Kleinmürbisch"",10422,7540,""Kleinmürbisch"",""7540"",47.4743,16.5791,47.059377,16.323944,47.025491,16.321693,47.025491,16.321693"
"Burgenland,""Güssing"",""Tschanigraben"",10423,7540,""Tschanigraben"",""7540"",47.4743,16.5791,47.059377,16.323944,47.006637,16.305494,47.006637,16.305494"
"Burgenland,""Güssing"",""Heugraben"",10424,7551,""Heugraben"",""7551"",47.4743,16.5791,47.059377,16.323944,47.117368,16.19164,47.117368,16.19164"
"Burgenland,""Güssing"",""Rohr im Burgenland"",10425,7551,""Rohr im Burgenland"",""7551"",47.4743,16.5791,47.059377,16.323944,47.119158,16.164283,47.119158,16.164283"
"Burgenland,""Güssing"",""Bildein"",10426,7521,""Oberbildein"",""7521"",47.4743,16.5791,47.059377,16.323944,47.133338,16.485484,47.133415,16.463915"
"Burgenland,""Güssing"",""Bildein"",10426,7521,""Unterbildein"",""7521"",47.4743,16.5791,47.059377,16.323944,47.133338,16.485484,47.128156,16.466815"
"Burgenland,""Güssing"",""Rauchwart"",10427,7535,""Rauchwart"",""7535"",47.4743,16.5791,47.059377,16.323944,47.133377,16.227441,47.143019,16.228808"
"Burgenland,""Güssing"",""Moschendorf"",10428,7540,""Moschendorf"",""7540"",47.4743,16.5791,47.059377,16.323944,47.060413,16.477268,47.060413,16.477268"
"Burgenland,""Jennersdorf"",""Deutsch Kaltenbrunn"",10501,7572,""Deutsch Kaltenbrunn"",""7572"",47.4743,16.5791,46.937159,16.140604,47.087542,16.106464,47.087542,16.106464"
"Burgenland,""Jennersdorf"",""Deutsch Kaltenbrunn"",10501,7572,""Rohrbrunn"",""7572"",47.4743,16.5791,46.937159,16.140604,47.087542,16.106464,47.123489,16.1148"
"Burgenland,""Jennersdorf"",""Eltendorf"",10502,7562,""Eltendorf"",""7562"",47.4743,16.5791,46.937159,16.140604,47.007712,16.201772,47.007712,16.201772"
"Burgenland,""Jennersdorf"",""Eltendorf"",10502,7562,""Zahling"",""7562"",47.4743,16.5791,46.937159,16.140604,47.007712,16.201772,47.024752,16.212266"
"Burgenland,""Jennersdorf"",""Heiligenkreuz im Lafnitztal"",10503,7561,""Heiligenkreuz im Lafnitztal"",""7561"",47.4743,16.5791,46.937159,16.140604,46.988494,16.258461,46.988494,16.258461"
"Burgenland,""Jennersdorf"",""Heiligenkreuz im Lafnitztal"",10503,7561,""Poppendorf im Burgenland"",""7561"",47.4743,16.5791,46.937159,16.140604,46.988494,16.258461,46.996222,16.227562"
"Burgenland,""Jennersdorf"",""Jennersdorf"",10504,8380,""Grieselstein"",""8380"",47.4743,16.5791,46.937159,16.140604,46.937159,16.140604,46.949993,16.119682"
"Burgenland,""Jennersdorf"",""Jennersdorf"",10504,8380,""Henndorf im Burgenland"",""8282"",47.4743,16.5791,46.937159,16.140604,46.937159,16.140604,46.982476,16.14694"
"Burgenland,""Jennersdorf"",""Jennersdorf"",10504,8380,""Henndorf im Burgenland"",""8380"",47.4743,16.5791,46.937159,16.140604,46.937159,16.140604,46.982476,16.14694"
"Burgenland,""Jennersdorf"",""Jennersdorf"",10504,8380,""Jennersdorf"",""8380"",47.4743,16.5791,46.937159,16.140604,46.937159,16.140604,46.937159,16.140604"
